YEAR,MO,DD,HH,MM,SS,LAT,LON,ERR,DEPTH,MAG,C_MAG,T_MAG,CAT,INTENSITY,AREA,UF,LOCALITY_COMMENTS,,
1911,8,27,21,15,,-3.1,-40.84,0,0,0,-1,,C,,,CE,GRANJA DOIS EVENTOS,,
1912,4,18,,,,-13.2,-38.89,0,0,0,-1,,C,,,BA,BR.JEQUIRICA VARIOS EVENTOS,,
1912,4,19,8,,,-13.2,-38.89,0,0,3.7,4,mI,C,5.5,,BA,BR.JEQUIRICA,,
1912,4,19,13,,,-13.2,-38.89,0,0,0,-1,,C,,,BA,BR.JEQUIRICA,,
1913,8,,,,,-6.04,-38.46,0,0,0,-1,,C,,,CE,PEREIRO,,
1915,2,2,,,,-24.18,-46.79,0,0,3.2,4,mI,C,4.5,,SP,ITANHAEM,,
1915,3,20,,,,-19.98,-43.87,0,0,0,-1,,C,,,MG,MINA M.VELHO,,
1915,11,6,18,30,,-12.67,-38.63,20,0,4,3,mA,B,6,1.7,BA,I.DAS FONTES AREA IV MM,,
1916,,,,,,-21.26,-48.69,0,0,0,-1,,C,,,SP,FERN.PRESTES,,
1916,5,1,,,,-7.62,-72.66,0,0,0,-1,,C,,,AC,CRUZ. DO SUL,,
1916,6,12,13,,,-13.04,-39.01,0,0,0,-1,,C,,,BA,NAZARE',,
1916,7,,,,,-15.6,-56.1,0,0,0,-1,,C,,,MT,"CUIABA' (OBS.D.BOSCO, CUIABA')",,
1917,,,,,,-7.26,-64.79,0,0,0,-1,,C,,,AM,LABREA ANO INCERTO,,
1917,5,5,7,50,,-21.6,-41.5,50,0,4.5,3,mA,B,5,70,RJ,CAMPOS,,
1917,11,7,23,25,,-12.48,-38.66,10,0,4.3,3,mA,B,6.5,28,BA,RIO FUNDO,,
1917,11,8,1,,,-12.45,-38.62,0,0,3.7,3,mA,C,4,2.3,BA,RIO FUNDO,,
1917,11,8,7,,,-12.45,-38.62,0,0,0,-1,,C,,,BA,RIO FUNDO,,
1917,12,23,21,,,-12.45,-38.62,0,0,0,-1,,C,,,BA,RIO FUNDO,,
1918,,,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU,,
1918,,,,,,-23.53,-46.62,0,0,3,4,mI,C,4,,SP,SAO PAULO,,
1918,1,,,,,-15.6,-56.1,0,0,0,-1,,C,,,MT,"CUIABA' (OBS.D.BOSCO, CUIABA')",,
1918,1,12,11,,,-12.45,-38.62,0,0,3.7,4,mI,C,5.5,,BA,RIO FUNDO DOIS EVENTOS,,
1918,3,4,17,,,-12.45,-38.62,0,0,0,-1,,C,,,BA,RIO FUNDO,,
1918,3,22,3,,,-12.45,-38.62,0,0,0,-1,,C,,,BA,RIO FUNDO Outro ev. `as 12 h,,
1918,3,27,14,,,-12.45,-38.62,0,0,0,-1,,C,,,BA,RIO FUNDO,,
1918,3,29,14,,,-12.45,-38.62,0,0,0,-1,,C,,,BA,RIO FUNDO,,
1918,4,14,7,30,,-12.45,-38.62,0,0,0,-1,,C,,,BA,RIO FUNDO,,
1918,4,19,11,,,-12.45,-38.62,0,0,0,-1,,C,,,BA,RIO FUNDO,,
1918,6,,,,,-12.45,-38.62,0,0,0,-1,,C,,,BA,RIO FUNDO VARIOS EVENTOS,,
1918,8,29,,,,-3.69,-40.36,0,0,0,-1,,C,,,CE,SOBRAL,,
1919,,,,,,-10.91,-37.02,0,0,0,-1,,C,,,SE,ARACAJU INICIO DO ANO ?,,
1919,5,8,,,,-4.36,-39.32,0,0,0,-1,,C,,,CE,CANINDE',,
1919,6,1,21,30,,-18,-56,100,0,4.9,3,mA,C,5,280,MS,CORUMBA' SENT. CUIABA' E STA.LUZIA-GO (ATUAL LUZIANIA?),,
1919,6,5,4,20,,-21.03,-44.75,0,0,3.2,4,mI,C,4.5,,MG,BOM SUCESSO OUTROS EVENTOS NO ANEXO 2,,
1919,7,16,14,,,-15.6,-56.1,0,0,0,-1,,C,,,MT,"CUIABA' (OBS.D.BOSCO, CUIABA')",,
1919,7,29,9,,,-12.68,-38.7,0,0,0,-1,,C,,,BA,S.B.DASLAJES,,
1919,8,4,,,,-4.36,-39.32,0,0,0,-1,,C,,,CE,CANINDE',,
1919,8,5,9,,,-25.01,-47.94,0,0,0,-1,,C,,,SP,CANANEIA (ALMEIDA 1963),,
1919,9,,,,,-17.3,-46.85,0,0,2.8,4,mI,C,3.5,,MG,PARACATU (WILLIAMS 1922),,
1919,11,9,14,,,-12.75,-38.68,20,0,3.8,3,mA,C,4,3.7,BA,ACUPE,,
1919,11,10,,,,-12.59,-38.62,20,0,3.6,3,mA,C,4,1.7,BA,SANTO AMARO,,
1919,11,11,23,55,,-12.68,-38.7,0,0,0,-1,,C,,,BA,S.B.DASLAJES,,
1919,11,13,,,,-12.55,-38.7,0,0,3.5,4,mI,C,5,,BA,SANTO AMARO DOIS EVENTOS,,
1919,11,16,9,55,,-12.67,-38.68,20,0,3.5,3,mA,C,5,1.2,BA,S.B.DASLAJES,,
1919,11,23,4,20,,-12.65,-38.62,10,0,4.2,3,mA,B,7,3,BA,M.RECONCAVO AREA IV MM,,
1919,11,24,6,,,-3.87,-38.92,50,0,4.5,3,mA,B,4,70,CE,MARANGUAPE,,
1919,11,28,22,30,,-21.03,-44.75,0,0,0,-1,,C,,,MG,BOM SUCESSO OUTROS EVENTOS NO ANEXO 2,,
1920,1,31,11,10,,-21.03,-44.75,10,0,4,3,mA,B,6,9.5,MG,BOM SUCESSO,,
1920,1,31,23,8,,-21.03,-44.75,0,0,0,-1,,C,,,MG,BOM SUCESSO,,
1920,2,1,4,35,,-21.03,-44.75,0,0,3.2,4,mI,C,4.5,,MG,BOM SUCESSO VARIOS EVENTOS,,
1920,2,9,16,20,,-21.03,-44.75,0,0,3,4,mI,C,4,,MG,BOM SUCESSO,,
1920,2,17,2,,,-4.36,-39.32,0,0,0,-1,,C,,,CE,CANINDE',,
1920,2,17,11,30,,-21.1,-44.92,0,0,0,-1,,C,,,MG,PEDRA NEGRA,,
1920,2,18,15,,,-21.03,-44.75,0,0,0,-1,,C,,,MG,BOM SUCESSO,,
1920,2,21,,,,-4.36,-39.32,0,0,0,-1,,C,,,CE,CANINDE',,
1920,3,11,22,15,,-21.03,-44.75,0,0,3,4,mI,C,4,,MG,BOM SUCESSO,,
1921,1,21,,,,-4.1,-59.35,0,0,0,-1,,C,,,AM,IG.PERSEVER.,,
1922,,,,,,-1.92,-55.5,0,0,0,-1,,C,,,PA,"OBIDOS ANO INCERTO, ANTES DE 22",,
1922,,,,,,-9.38,-36.24,0,0,0,-1,,C,,,AL,VICOSA ANTES DE 1922,,
1922,1,27,,,,-20.68,-44.58,0,0,0,-1,,C,,,MG,ENTRE RIOS DOIS EVTS.ANTES DE 03H50M,,
1922,1,27,2,,,-20.68,-44.58,0,0,0,-1,,C,,,MG,ENTRE RIOS,,
1922,1,27,6,50,40,-22.17,-47.04,40,0,5.1,3,mA,A,6,250,SP,MOGI GUACU (ASSUMPCAO ET AL.1979),,
1922,8,1,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU,,
1922,8,8,15,30,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU,,
1924,,,,,,-8.28,-35.96,0,0,3,4,mI,C,4,,PE,CARUARU,,
1925,,,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU,,
1926,3,1,,,,3.83,-51.84,0,0,0,-1,,C,,,AP,OIAPOQUE,,
1927,,,3,,,-6.04,-38.46,0,0,3,4,mI,C,4,,CE,PEREIRO,,
1928,,,,,,-21.82,-52.05,0,0,0,-1,,C,,,SP,PR. EPITACIO ANO INCERTO,,
1928,4,15,21,59,,-4.56,-37.76,0,0,4,3,mA,C,6,10,CE,ARACATI AREA APROXIMADA,,
1928,6,8,21,30,,-5.42,-39.36,0,0,3.6,3,mA,C,3.5,2,CE,LACERDA,,
1928,9,28,,,,2.82,-60.68,0,0,0,-1,,C,,,RR,"BOA VISTA (BSSA 18, 241)",,
1929,,,,,,-4.56,-37.76,0,0,0,-1,,C,,,CE,ARACATI MEADOS DO ANO,,
1929,10,5,,,,-5.11,-38.37,0,0,0,-1,,C,,,CE,MORADA NOVA,,
1930,,,,,,0.56,-29.22,0,0,0,-1,,C,,,EX,OC.ATLANTICO PENEDOS S.PEDRO E S.PAULO,,
1933,5,6,,,,3.83,-51.84,0,0,0,-1,,C,,,AP,OIAPOQUE,,
1934,,,,,,-29.45,-51.5,0,0,0,-1,,C,,,RS,SALV. DO SUL ANO INCERTO,,
1935,1,6,,,,-21.03,-44.75,0,0,0,-1,,C,,,MG,BOM SUCESSO,,
1935,10,17,,,,-21.03,-44.75,0,0,0,-1,,C,,,MG,BOM SUCESSO,,
1935,10,21,10,40,,-21.03,-44.75,10,0,3.7,3,mA,C,5.5,2.8,MG,BOM SUCESSO OUTROS EVENTOS,,
1935,10,22,23,,,-21.03,-44.75,0,0,0,-1,,C,,,MG,BOM SUCESSO,,
1937,,,,,,-9.1,-38.15,0,0,0,-1,,C,,,PE,TACARATU,,
1939,6,5,2,30,,-15.6,-56.1,0,0,0,-1,,C,,,MT,"CUIABA' (OBS.D.BOSCO, CUIABA')",,
1939,6,28,11,32,22,-29,-48,90,0,5.5,3,mA,A,6,1100,SC,"TUBARAO (ISS, IAG) I.E.I.= VII",,
1941,,,,,,-7,-62.7,0,0,0,-1,,C,,,AM,TRES CASAS ANO INCERTO,,
1941,4,11,12,5,,-16.1,-54.5,70,0,4.4,3,mA,B,5,51,MT,"RONDONOPOLIS CUIABA', POXOREU",,
1942,,,18,30,,-3.1,-40.84,0,0,3,4,mI,C,4,,CE,GRANJA,,
1946,2,19,4,,,-21.31,-46.71,0,0,3,4,mI,C,4,,MG,GUAXUPE',,
1946,7,18,7,15,,-25.1,-47.7,30,0,4.6,3,mA,A,4.5,60,SP,CANANEIA AREA IV = 25000 KM2,,
1946,10,7,20,25,,-1.44,-48.48,0,0,2.8,4,mI,C,3.5,,PA,BELEM,,
