YEAR,MO,DD,HH,MM,SS,LAT,LON,ERR,DEPTH,MAG,C_MAG,T_MAG,CAT,INTENSITY,AREA,UF,LOCALITY_COMMENTS,,
1980,12,16,14,57,,-4.3,-38.4,0,0,0,-1,,C,,,CE,BRITO,,
1980,12,19,5,29,10,-20.45,-45.54,10,0,2.6,1,mR,I,,,MG,FORMIGA (UnB),,
1980,12,24,13,35,,-4.3,-38.4,0,0,2.3,1,mR,I,,,CE,PACAJUS (UnB),,
1981,1,2,4,14,55,-4.3,-38.4,30,0,3.6,1,mR,C,,,CE,"PACAJUS (IAG, UnB)NOTICIADO 15:20",,
1981,1,6,19,51,58,-5,-47.5,50,0,3.4,1,mR,I,,,MA,"JOAO LISBOA? (IAG, UnB)",,
1981,1,9,5,44,20,-11.8,-47.6,100,0,2.8,1,mR,I,,,GO,"NATIVIDADE (IAG, UnB)",,
1981,1,11,12,4,55,0,0,50,0,3,5,mEst,I,,,EX,1000KM BDF (UnB),,
1981,1,12,3,33,8,-4.3,-38.4,30,0,3.8,1,mR,C,,18,CE,"PACAJUS (IAG, UnB)",,
1981,1,12,9,29,,-4.3,-38.4,0,0,2,1,mR,I,,,CE,PACAJUS (UnB),,
1981,1,18,16,19,50,-20.71,-46.7,20,0,3.3,1,mR,B,5,2.5,MG,"PASSOS (IAG, UnB)",,
1981,1,21,2,,,-21.1,-45.3,0,0,0,-1,,C,,,MG,BOA ESPERAN. VARIOS; SEM REG. INSTRUM.,,
1981,1,28,9,14,58,-14.5,-67,300,0,3.8,1,mR,I,,,EX,BOLIVIA ? (UnB),,
1981,2,17,8,0,,-4.5,-70.4,100,0,3.4,1,mR,I,,,AM,AM/PERU (UnB),,
1981,3,9,20,27,40,-11.01,-57.64,50,0,3.8,1,mR,I,,,MT,PORT.GAUCHOS (UnB),,
1981,3,24,22,10,3,-20.58,-48.34,15,0,2.8,1,mR,I,,,SP,"BARRETOS (IAG, UnB)N.SENTIDO,EXPL?",,
1981,4,1,20,1,44,-10.74,-62.2,30,0,3.2,1,mR,C,5,,RO,OURO PRETO (UnB/ELETRONORTE),,
1981,4,21,18,53,0,-4.8,-38.6,50,0,2.5,1,mR,I,,,CE,"PACAJUS (IAG, UnB)",,
1981,4,22,1,5,,-4.3,-38.4,0,0,2.1,1,mR,I,,,CE,PACAJUS (UnB),,
1981,5,7,3,44,55,-22.6,-39.5,50,0,3.7,1,mR,I,,,RJ,PLAT. CONT. (UnB),,
1981,5,12,5,27,0,-26.9,-47.9,150,0,2.6,1,mR,I,,,SC,PLAT. CONT.? (UnB),,
1981,7,11,3,0,,-20.8,-47.8,50,0,2.4,1,mR,I,,,SP,"ORLANDIA (IAG,UnB) NAO SENTIDO",,
1981,9,9,23,12,,-4.3,-38.4,0,0,2.6,1,mR,I,,,CE,"PACAJUS (IAG,UnB)",,
1981,9,10,15,56,,-3.73,-39.79,0,0,2,1,mR,I,,,CE,IRAUCUBA (UnB),,
1981,9,11,10,24,45,-21.45,-46.09,15,0,3.1,1,mR,I,,,MG,"ALFENAS (UnB, IAG)",,
1981,9,11,11,20,,-4.3,-38.4,0,0,2.7,1,mR,I,,,CE,PACAJUS (UnB),,
1981,9,15,4,26,12,-1.6,-53,100,0,3.9,1,mR,I,,,PA,ALMEIRIM (UnB),,
1981,10,13,8,5,14,-16.86,-54.55,50,0,3.2,1,mR,C,5,,MT,"RONDONOPOLIS (IAG,UnB)",,
1981,11,2,11,37,5,-8.61,-38.45,5,0,3.1,1,mR,B,,,PE,FLORESTA (IAG),,
1981,11,2,14,57,13,-8.61,-38.45,5,0,3.1,1,mR,B,4,0.3,PE,FLORESTA (IAG),,
1981,11,4,3,16,51,-8.59,-38.5,5,0,3.1,1,mR,B,4,0.2,PE,FLORESTA (IAG),,
1981,11,10,19,54,0,-15.6,-41.2,100,0,2.9,1,mR,I,,,BA,"C. SALES (IAG,UnB)",,
1982,1,30,16,42,37,-4,-34,70,0,3.5,1,mR,I,,,RN,"PLAT. CONT. (UnB, IAG)",,
1982,3,,21,,,-12.2,-41.7,0,0,0,-1,,C,,,BA,S. SOARES (IAG),,
1982,3,3,18,57,25,-16.5,-59.1,100,0,3.5,1,mR,I,,,MT,BOLIVIA/MT (UnB),,
1982,3,10,6,15,44,-23.4,-42.1,30,0,2.8,1,mR,I,,,RJ,"PLATAFORMA (UnB,IAG)",,
1982,3,10,7,57,34,-23.4,-42.1,30,0,3,1,mR,I,,,RJ,"PLATAFORMA (UnB,IAG)",,
1982,3,12,17,14,43,-23.6,-41.63,30,0,3.5,1,mR,I,,,RJ,"PLATAFORMA (UnB,IAG)",,
1982,3,13,18,18,,-4.3,-38.4,0,0,2.7,1,mR,I,,,CE,PACAJUS ? (UnB),,
1982,3,19,,,,-12.3,-41.7,0,0,0,-1,,C,,,BA,SEGREDO (IAG)SEM REG. INSTR.,,
1982,3,29,7,47,11,-9.31,-38.23,5,0,3.6,1,mR,B,4,0.2,BA,PAULO AFONSO (IAG),,
1982,4,8,5,58,52,-24.8,-58.1,30,12,4.9,2,mbR,I,6,230,EX,"PARAGUAI (ISC,UnB,IAG) ASUNCION IV-V MM",,
1982,4,16,22,38,0,-22.2,-55,5,0,3.4,1,mR,I,4,,MS,PICADINHA (UnB),,
1982,5,2,8,30,4,-21.64,-46.65,10,0,3.1,1,mR,A,5,10,MG,"P. DE CALDAS (IAG, UnB)",,
1982,5,2,21,9,1,-27.7,-43.4,200,0,2.8,1,mR,I,,,SC,"PLAT. CONT. (IAG,UnB)",,
1982,5,17,3,57,15,-12.7,-48.2,40,0,3,1,mR,I,,,GO,"PARANAN (UnB, IAG)",,
1982,7,23,11,6,45,-14.26,-45.72,50,0,2.9,1,mR,I,,,BA,"SW BAHIA/GO (UnB, IAG)",,
1982,8,26,1,7,56,-19.6,-47.1,50,0,3.2,1,mR,I,,,MG,"ARAXA' (UnB, IAG)",,
1982,9,5,6,7,,-4.3,-38.4,0,0,2.2,1,mR,I,,,CE,PACAJUS ? (UnB),,
1982,9,5,6,30,2,-16.51,-41.46,30,0,3.2,1,mR,I,,,MG,"ITAOBIM (UnB, IAG)",,
1982,9,17,12,28,41,-25.84,-45.42,40,0,3.8,1,mR,I,,,SP,"PLATAFORMA (UnB, IAG)",,
1982,9,21,1,42,33,-18.8,-44.8,10,0,3.1,1,mR,I,,,MG,FELIXLANDIA (UnB),,
1982,10,5,16,19,32,-4.5,-40.2,50,0,2.1,1,mR,I,,,CE,"S. QUITERIA? (UnB, IAG)",,
1982,10,10,19,28,0,-12.3,-45.5,70,0,2.8,1,mR,I,,,BA,W. BARREIRAS (IAG),,
1982,11,24,23,3,15,-20.76,-45.8,20,0,3.2,1,mR,I,,,MG,FURNAS (UnB),,
1982,12,15,4,49,56,-15.2,-51.8,50,0,2.5,1,mR,I,,,MT,B. DO GARCAS (UnB) EXPL. ?,,
1983,1,2,6,40,,-24.3,-47.8,0,0,2.9,1,mR,I,,,SP,JUQUIA' (IAG),,
1983,1,8,13,10,14,-9.1,-37.1,0,0,2.6,1,mR,I,,,PE,AGUAS BELAS (IAG),,
1983,2,8,18,38,15,-26.28,-60.18,30,0,4.8,2,mbR,I,,,EX,PARAGUAI (GS: MB=5.0),,
1983,2,21,5,38,46,-10.7,-62.2,0,0,3.2,1,mR,I,5,,RO,OURO PRETO (UnB),,
1983,3,7,5,49,32,-16.47,-41.7,0,0,2.9,1,mR,I,,,MG,"TUPARECE (IAG, UnB)",,
1983,3,7,11,51,18,-16.47,-41.7,20,0,3.1,1,mR,I,4,,MG,"TUPARECE (IAG, UnB)",,
1983,3,7,12,6,49,-16.47,-41.7,0,0,2.4,1,mR,I,,,MG,"TUPARECE (IAG, UnB)",,
1983,3,22,12,51,21,-6.1,-36.4,0,0,2,5,mEst,I,,,RN,CERRO CORA' (IAG),,
1983,3,23,1,16,16,-6.1,-36.4,50,0,2.4,5,mEst,I,,,RN,CERRO CORA' (IAG),,
1983,5,4,21,53,5,-5.1,-38.7,50,0,2.4,1,mR,I,,,CE,"MORADA NOVA (IAG, UnB)",,
1983,5,5,21,40,,-8.67,-35.58,0,0,3,4,mI,C,4,,PE,PALMARES (IAG),,
1983,5,7,18,30,,-8.67,-35.58,0,0,3.5,4,mI,C,5,,PE,PALMARES (IAG),,
1983,5,10,,,,-8.67,-35.58,0,0,0,-1,,C,,,PE,PALMARES (IAG),,
1983,6,1,10,3,55,-8.6,-36.2,40,0,2.4,1,mR,I,,,PE,"CARUARU ? (UnB, IAG, UFRN)",,
1983,6,1,10,49,20,-8.6,-36.2,40,0,2.3,1,mR,I,,,PE,"CARUARU ?? (IAG, UFRN)",,
1983,6,1,14,57,23,-14.32,-44.63,50,0,3.2,1,mR,I,,,BA,"COCOS (UnB, IAG)",,
1983,6,1,17,18,6,-8.6,-36.2,40,0,2.5,1,mR,I,,,PE,"CARUARU ? (UnB, IAG, UFRN)",,
1983,6,1,17,42,21,-8.6,-36.2,40,0,2.3,1,mR,I,,,PE,"CARUARU ? (UnB, IAG, UFRN)",,
1983,6,1,18,12,24,-8.5,-42.8,0,0,2,1,mR,I,,,PI,NSR NONATO (IAG),,
1983,6,1,18,31,28,-8.6,-36.2,40,0,2.1,1,mR,I,,,PE,"CARUARU ? (UnB, IAG, UFRN)",,
1983,6,7,10,52,6,-12.8,-46.4,100,0,3,1,mR,I,,,GO,"MANHA (UnB, IAG)",,
1983,6,28,20,10,15,-12.9,-39.3,50,0,2.2,1,mR,I,,,BA,S.A.DE JESUS (IAG),,
1983,7,12,20,43,57,-18.7,-49.2,20,0,2.7,1,mR,I,,,GO,CENTRALINA (UnB),,
1983,8,5,6,21,42,-3.59,-62.17,20,23,5.5,2,mbR,A,7,500,AM,"CODAJAS (UnB,IAG) GS 5.5MB",,
1983,8,5,8,24,18,-3.59,-62.17,0,0,3.5,1,mR,I,,,AM,CODAJAS (UnB) REPLICA,,
1983,8,5,10,7,14,-3.59,-62.17,0,0,2.6,1,mR,I,,,AM,CODAJAS (UnB) REPLICA,,
1983,9,1,21,45,18,-21.45,-46.09,15,0,2.7,1,mR,I,,,MG,"ALFENAS (UnB,IAG)",,
1983,9,2,16,25,20,-14.9,-50.8,30,0,2.8,1,mR,I,,,GO,ARUANAN (UnB),,
1983,9,12,14,39,,-18.5,-50.1,15,0,2.1,1,mR,I,,,GO,QUIRINOPOLIS (UnB),,
1983,9,16,13,43,52,-4.32,-38.41,15,0,2.5,1,mR,I,,,CE,"PACAJUS (UnB, IAG, UFRN)",,
1983,10,1,6,14,35,-4.7,-39.8,50,0,2.7,0,mb,I,,,CE,"ITATAIA ? (UnB, IAG, UFRN)",,
1983,10,1,18,44,16,-11.4,-63.7,50,0,3.6,1,mR,I,,,RO,OURO PRETO (UnB),,
1983,10,5,22,26,25,-15.7,-51.4,200,0,2.7,1,mR,I,,,GO,BRITANIA ? (UnB),,
1983,11,4,8,49,47,-8.8,-71.1,200,0,3.9,1,mR,I,,,AC,SA. DIVISOR? (UnB),,
1983,11,18,8,41,2,-5.1,-38.7,0,0,2.8,1,mR,I,,,CE,"PACAJUS ?? (IAG, UFRN)",,
1983,11,18,10,27,41,-5,-38.7,40,0,2.3,1,mR,I,,,CE,"PACAJUS ?? (UnB, UFRN, IAG)",,
1983,11,18,12,10,9,-5,-38.7,40,0,2.6,1,mR,I,,,CE,"PACAJUS ?? (UnB, UFRN, IAG)",,
1983,11,23,15,51,49,4.2,-52,100,0,4,1,mR,I,,,EX,GUIANA FRAN. (UnB),,
1983,12,3,21,,,0,0,0,0,2.6,4,mI,C,3,,SP,PIRAJU (IAG),,
1983,12,4,7,17,57,-3.17,-50.57,20,0,3.7,1,mR,I,,,PA,130KM NW TUC (UnB),,
1983,12,7,18,4,14,-17.2,-45,40,0,2.9,1,mR,I,,,MG,BURITIZEIRO (UnB),,
1983,12,16,23,53,35,-8.33,-35.8,15,0,3.5,1,mR,I,,,PE,"CARUARU (UnB, IAG, UFRN)",,
1983,12,23,2,2,21,-5.6,-35.8,0,0,2.2,1,mR,I,,,RN,"JOAO CAMARA (UFRN, IAG)",,
1983,12,25,1,4,9,-5.6,-35.8,10,0,2.3,1,mR,B,4,0.9,RN,"JOAO CAMARA (UFRN, UnB)",,
1983,12,27,17,3,,-19.9,-47.9,20,0,2.2,1,mR,I,,,MG,UBERABA (UnB),,
1984,1,3,5,4,36,-5.6,-35.8,0,0,2.1,1,mR,I,,,RN,"JOAO CAMARA (UFRN, UnB)",,
1984,1,3,6,31,17,-5.6,-35.8,0,0,2,1,mR,I,,,RN,"JOAO CAMARA (UFRN, UnB)",,
1984,1,3,21,26,7,-5.6,-35.8,0,0,2,1,mR,I,,,RN,"JOAO CAMARA (UFRN, UnB)",,
1984,1,5,10,30,10,-1.1,-50.32,20,0,3,1,mR,I,,,PA,SAO MIGUEL (UnB),,
1984,1,5,17,23,30,-17.4,-46.4,80,0,2.8,1,mR,I,,,MG,PARACATU ? (UnB),,
1984,1,5,21,6,20,-17.4,-46.4,80,0,2.3,1,mR,I,,,MG,PARACATU ? (UnB),,
1984,1,8,21,11,58,-15.53,-45.57,40,0,2.1,1,mR,I,,,MG,NW DE MINAS (UnB),,
1984,1,13,2,38,57,-15.53,-45.57,40,0,2.4,1,mR,I,,,MG,NW DE MINAS (UnB),,
1984,1,13,21,53,55,-15.53,-45.57,40,0,2,1,mR,I,,,MG,NW DE MINAS (UnB),,
1984,1,18,22,44,1,-23.33,-45.58,5,0,2.5,1,mR,I,2,,SP,"PARAIBUNA (IAG, IPT)",,
1984,2,19,21,45,10,-20.5,-44.2,200,0,2.5,1,mR,I,,,MG,BONFIM ?? (UnB),,
1984,2,20,18,18,28,-1.16,-50.49,20,0,3,1,mR,I,,,PA,SAO MIGUEL (UnB),,
1984,2,22,8,0,26,-23.47,-40.7,50,0,3.7,1,mR,I,,,RJ,"PLAT. CONT. (UnB, IAG) RBGF +20KM E",,
1984,2,22,12,30,,0,0,0,0,0,-1,,C,,,MG,VARGINHA (?),,
1984,3,6,4,40,46,-16.5,-52.8,50,0,2.6,1,mR,I,,,MT,"B. DO GARCAS (UnB, IAG)",,
1984,3,7,3,18,50,-24.44,-58.19,20,0,3.3,1,mR,I,,,EX,PARAGUAI (UnB),,
1984,3,17,23,8,44,-16.5,-52.5,100,0,3.2,1,mR,I,,,MT,"B. DO GARCA (UnB, IAG)",,
1984,4,8,20,56,0,-20.8,-46.76,10,0,3.8,1,mR,B,4,6.2,MG,"PASSOS (UnB,IAG) CASSIA,PRATAP.,FURNAS,GUAXUPE'",,
1984,5,2,7,18,35,-24.3,-44.5,50,0,2,5,mEst,I,,,SP,"PLAT. CONT. (UnB, IAG)",,
1984,5,9,2,27,26,-21.23,-46.29,10,0,2.1,1,mR,I,,,MG,"C. RIO CLARO (UnB, IAG)",,
1984,5,18,19,9,4,-6,-36.2,50,0,2.6,1,mR,I,,,RN,"LAJES (UnB, UFRN, IAG)",,
1984,5,21,3,22,47,-4.2,-50.6,100,0,2,1,mR,I,,,PA,TUCURUI' (UnB) OU 3.2 S 50.4 W,,
1984,5,25,8,36,34,-24.92,-43.35,50,0,3.5,1,mR,I,,,RJ,"PLAT. CONT. (UnB,IAG)",,
1984,5,27,10,36,5,-8.3,-36.2,100,0,2.1,1,mR,I,,,PE,"CARUARU ?? (UnB,IAG) OU 9.8 S 40.5 W",,
1984,6,13,,,,-29.1,-51.1,10,0,2.2,3,mA,A,5.5,0.006,RS,CAXIAS D SUL (IAG) SERIE DE EVENTOS,,
1984,6,26,20,36,17,-14.43,-49.93,30,0,3.1,1,mR,I,,,GO,"S. TERESINHA (UnB, IAG)",,
1984,6,30,11,32,56,-23.35,-45.66,5,0,2.7,1,mR,I,3,,SP,"PARAIBUNA (IAG, IPT)",,
1984,7,4,16,7,5,-20.2,-47.35,10,0,2.4,1,mR,I,2,,MG,"ESTREITO (UnB,IAG) SENT. F. PINHOS",,
1984,8,,,,,0,0,0,0,3,4,mI,C,4,,MG,"VESPASIANO VARIOS,EST.MINAS 10.10.84",,
1984,8,9,19,37,22,-21.28,-54.53,20,0,3,1,mR,I,,,MS,SIDROLANDIA (UnB),,
1984,9,17,8,9,,-10.7,-62.1,0,0,3.4,1,mR,I,,,RO,OURO PRETO (UnB) SENTIDO ??,,
1984,10,9,20,20,57,-20.98,-43.91,20,0,3,1,mR,I,,,MG,"CARANDAI' (UnB, IAG)",,
1984,10,20,13,18,,-16.47,-41.7,0,0,3,1,mR,I,,,MG,TUPARECE (IAG),,
1984,10,23,7,42,22,-8.18,-35.89,20,0,2.7,1,mR,I,,,PE,"CARUARU (UnB, IAG, UFRN)",,
1984,11,8,12,5,35,-8.18,-35.92,5,0,3.8,1,mR,A,5.5,2.5,PE,"CARUARU (UFRN, IAG, UnB)",,
1984,11,21,20,15,23,-6.9,-50.7,20,0,3.7,1,mR,I,,,PA,GRADAUS (UnB),,
1984,12,9,3,22,16,-16.62,-44.13,15,0,3.2,1,mR,I,,,MG,CORAC. JESUS (UnB),,
1984,12,12,21,18,47,-12.93,-48.84,20,0,3.3,1,mR,I,,,GO,"N. PORANGATU (UnB, IAG)",,
1984,12,16,7,25,,-4.1,-50.9,30,0,2.2,1,mR,I,,,PA,TUCURUI' (UnB),,
1985,4,12,14,34,57,-23.94,-60.55,30,21,5.3,0,mb,I,,,EX,"PARAGUAI (NEIS, H=25) SENTIDO ASUNCION",,
1985,6,8,4,15,38,-17.3,-44.4,60,0,2.8,1,mR,I,,,MG,PIRAPORA (UnB),,
1985,7,8,4,,,-16.47,-41.7,0,0,0,-1,,C,,,MG,TUPARECE 30 ABALOS ATE' DIA 15,,
1985,7,20,1,5,34,-13.09,-48.03,20,0,3.6,1,mR,I,5,15,GO,"PALMEIROPOL. (UnB, IAG) AREA APROX.",,
1985,7,20,21,21,19,-13.08,-48.06,20,0,3.5,1,mR,I,5,15,GO,"PALMEIROPOL. (UnB, IAG) AREA APROX.",,
1985,7,20,21,29,,-13.08,-48.06,20,0,2.2,1,mR,I,,,GO,PALMEIROPOL. (UnB) SENTIDO?,,
1985,10,26,20,55,15,-24.21,-59.52,200,0,3.3,1,mR,I,,,EX,ARGENTINA (UnB),,
1985,11,4,,,,0,0,0,0,0,-1,,C,,,SC,"CANGARA' (I.RISCOS RURAIS, RIO)",,
1985,12,17,12,26,0,-23.17,-46.06,5,0,3,1,mR,A,5.5,0.54,SP,"IGARATA' (IPT, IAG, UnB)",,
1985,12,19,14,23,,-3.85,-50.48,100,0,2.4,1,mR,I,,,PA,TUCURUI' (UnB),,
1986,1,14,20,14,26,-15.08,-50.32,20,0,3.7,1,mR,I,4,14,GO,"ARAGUAPAZ (UnB, IAG)",,
1986,1,22,9,43,13,-3.5,-31,100,0,3.5,1,mR,I,,,RN,"F.DE NORONHA (IAG, UnB, UFRN)",,
1986,1,22,11,27,5,-19.93,-43.86,10,0,2.7,1,mR,C,2,0.1,MG,"B. HORIZONTE (UnB, CEMIG)",,
1986,1,30,5,38,46,-8.91,-36.37,40,0,2.3,1,mR,I,,,PE,GARANHUNS (IAG),,
1986,2,7,1,40,48,-20.1,-46.8,50,0,2.1,1,mR,I,,,MG,S. CANASTRA (UnB) explosao ?,,
1986,2,21,21,41,16,-12.91,-48.42,20,0,3.1,1,mR,I,,,GO,"PALMEIROPOL. (UnB, IAG)",,
1986,2,21,22,41,51,-12.91,-48.42,0,0,2,1,mR,I,,,GO,PALMEIROPOL. (UnB),,
1986,3,24,20,57,20,-8.4,-35.88,30,0,2.4,1,mR,I,,,PE,CARUARU (IAG),,
1986,4,27,9,28,24,-22.4,-44.5,40,0,2.6,1,mR,I,,,RJ,"NOVA IGUACU (IAG, IPT)",,
1986,5,1,4,15,56,-13.1,-49.9,80,0,2.7,1,mR,I,,,GO,SAO MIGUEL (UnB),,
1986,6,12,1,43,49,-13.9,-40.4,50,0,3,1,mR,I,,,BA,"JEQUIE' (IAG,UnB)",,
1986,6,14,6,6,55,-6.86,-38.59,0,0,2,1,mR,C,,,PB,"CAJAZEIRAS (IAG,UnB)",,
1986,6,14,6,25,30,-24.42,-60.54,100,0,3.5,1,mR,I,,,EX,PARAGUAI (UnB),,
1986,6,14,21,26,15,-6.86,-38.59,10,0,3.2,1,mR,B,4,0.66,PB,CAJAZEIRAS (UnB),,
1986,6,21,3,30,,-21.77,-43.35,3,0,2.3,3,mA,C,4,0.007,MG,JUIZ DE FORA (IAG),,
1986,7,2,21,25,,-22.43,-50.58,1,0,2.2,3,mA,A,4,0.006,SP,Paraguacu P. (IPT),,
1986,7,4,4,0,,-21.77,-43.35,3,0,2.3,3,mA,A,4,0.007,MG,J. de Fora (IAG) varios eventos,,
1986,7,4,6,,,-22.43,-50.58,0,0,0,-1,,C,,,SP,Paraguacu P. (IPT),,
1986,7,4,21,10,,-22.43,-50.58,1,0,2.2,3,mA,A,4,0.006,SP,Paraguacu P. (IPT),,
1986,8,1,19,8,19,-19.85,-42.28,50,0,3.3,1,mR,I,,,MG,"CARATINGA (UnB,IAG)",,
1986,8,5,23,13,30,-5.53,-35.75,10,0,3.3,1,mR,A,5.5,,RN,"Joao Camara (UFRN,IAG) CAI+ITR",,
1986,8,5,23,58,22,-5.53,-35.75,10,0,3,1,mR,I,,,RN,Joao Camara (IAG),,
1986,8,5,23,59,19,-5.53,-35.75,10,0,3,1,mR,I,,,RN,Joao Camara (IAG) mb inferida,,
1986,8,6,1,51,39,-4.5,-65.9,100,0,3.8,1,mR,I,,,AM,RIO TEFE' (UnB),,
1986,8,6,12,56,1,-5.53,-35.75,10,0,3,1,mR,I,,,RN,Joao Camara (IAG),,
1986,8,20,11,58,10,-5.53,-35.75,10,0,3.3,1,mR,I,,,RN,"Joao Camara (UnB,IAG)",,
1986,8,20,18,0,14,-5.53,-35.75,10,0,3.8,1,mR,C,5,,RN,"Joao Camara (UFRN,UnB,IAG)",,
1986,8,20,18,12,14,-5.53,-35.75,10,0,3.2,1,mR,I,,,RN,"Joao Camara (UnB,IAG)",,
1986,8,21,9,34,40,-5.52,-35.73,5,0,4.2,1,mR,A,6.5,,RN,"Joao Camara (UFRN,UnB,IAG) sentido J. Pessoa e Recife",,
1986,8,21,9,41,45,-5.53,-35.75,10,0,3.2,1,mR,I,,,RN,"Joao Camara (UnB,IAG) mb inferida",,
1986,8,22,19,20,4,-4,-51.2,200,0,2,1,mR,I,,,PA,ALTAMIRA/TUC (UnB),,
1986,8,23,20,6,31,-5.53,-35.75,10,0,3.7,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1986,8,25,14,52,12,-5.53,-35.75,10,0,3.1,1,mR,I,,,RN,Joao Camara (IAG),,
1986,8,27,9,54,53,-5.53,-35.75,10,0,3,1,mR,I,,,RN,Joao Camara (IAG),,
1986,8,27,13,25,26,-5.53,-35.75,10,0,3.1,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG) mb inf.",,
1986,9,3,1,16,6,-5.5,-35.74,5,0,4.1,1,mR,A,6,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,9,3,3,38,18,-5.53,-35.75,10,0,3.4,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,9,3,4,19,50,-5.53,-35.75,10,0,3.2,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,9,4,1,15,39,-5.53,-35.75,10,0,3.1,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,9,4,1,31,21,-5.53,-35.75,10,0,3,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,9,5,20,39,28,-5.51,-35.76,5,0,4.1,1,mR,A,6,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,9,5,20,46,17,-5.53,-35.75,10,0,3.2,1,mR,I,,,RN,Joao Camara (IAG) mb inferida,,
1986,9,5,20,57,23,-5.53,-35.75,10,0,3.1,1,mR,I,,,RN,Joao Camara (IAG) mb inferida,,
1986,9,9,9,17,22,-5.53,-35.75,10,0,3,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,9,9,20,2,36,-5.53,-35.75,10,0,3.6,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,9,9,23,29,2,-5.53,-35.75,10,0,3.2,1,mR,I,,,RN,Joao Camara (IAG),,
1986,9,11,9,5,41,-5.53,-35.75,10,0,3.6,1,mR,I,,,RN,Joao Camara (IAG),,
1986,10,19,1,45,15,-23.45,-45.29,10,0,2.1,1,mR,I,,,SP,"S. Luis Par. (IAG,IPT)",,
1986,11,17,23,23,6,-11.56,-56.58,40,0,3.6,1,mR,I,,,MT,Pto.Gauchos (UnB),,
1986,11,30,3,57,24,-13.5,-48.75,100,0,3.2,1,mR,I,,,GO,FORMOSO (UnB),,
1986,11,30,5,19,50,-5.53,-35.75,10,0,5.1,1,mR,A,7,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1986,11,30,5,26,10,-5.53,-35.75,10,0,3.9,1,mR,I,,,RN,Joao Camara (UnB),,
1986,11,30,6,7,35,-5.53,-35.75,10,0,4,1,mR,I,,,RN,"Joao Camara (UnB,IAG)",,
1986,11,30,6,10,20,-5.53,-35.75,10,0,4.2,1,mR,I,,,RN,"Joao Camara (UnB,IAG)",,
1986,11,30,6,58,57,-5.53,-35.75,10,0,3.8,1,mR,I,,,RN,"Joao Camara (UnB,IAG)",,
1986,11,30,7,2,5,-5.53,-35.75,10,0,4.2,1,mR,I,,,RN,"Joao Camara (UnB,IAG)",,
1986,11,30,14,1,47,-5.53,-35.75,10,0,3.8,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,11,30,23,1,16,-5.53,-35.75,10,0,3.3,1,mR,I,,,RN,"Joao Camara (IAG,UnB)",,
1986,11,30,23,2,47,-5.53,-35.75,10,0,3.2,1,mR,I,,,RN,"Joao Camara (IAG,UnB)",,
1986,11,30,23,3,59,-5.53,-35.75,10,0,3.3,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,12,1,1,4,51,-5.53,-35.75,10,0,3.8,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,12,1,17,37,5,-5.53,-35.75,10,0,3.3,1,mR,I,,,RN,"Joao Camara (IAG,UnB)",,
1986,12,1,21,59,16,-5.53,-35.75,10,0,3.3,1,mR,I,,,RN,"Joao Camara (IAG,UnB)",,
1986,12,2,7,6,12,-5.53,-35.75,10,0,3.2,1,mR,I,,,RN,"Joao Camara (IAG,UnB)",,
1986,12,2,9,50,48,-5.53,-35.75,10,0,3.6,1,mR,I,,,RN,"Joao Camara (IAG,UnB)",,
1986,12,3,8,1,46,-5.53,-35.75,10,0,3.2,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,12,3,10,6,2,-5.53,-35.75,10,0,3.6,1,mR,I,,,RN,"Joao Camara (UnB,IAG,UFRN)",,
1986,12,3,21,55,37,-5.53,-35.75,10,0,3.1,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,12,5,14,17,50,-5.53,-35.75,10,0,3.1,1,mR,I,,,RN,Joao Camara (IAG),,
1986,12,5,22,10,8,-5.53,-35.75,10,0,4,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,12,6,3,4,21,-5.53,-35.75,10,0,3.4,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,12,6,9,31,32,-5.53,-35.75,10,0,3.6,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,12,6,9,51,4,-5.53,-35.75,10,0,3.8,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,12,7,6,9,24,-8.24,-59.84,100,0,3.3,1,mR,I,,,AM,R. ARIPUANA (UnB),,
